,sigma,Al_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
132,0.2,1,-5,320.0,11.0,56,job__15_798528__320_000000__11_0,14537299,-3.74398116,205.30353117956423,-3.74318116,15.7985280109301,0.0245122099999997
133,0.2,1,-5,320.0,11.0,56,job__15_963096__320_000000__11_0,14537300,-3.74707425,207.54996243425995,-3.74627425,15.963096009423694,0.0242611400000001
134,0.2,1,-5,320.0,11.0,56,job__16_127664__320_000000__11_0,14537301,-3.74917111,210.05634861006763,-3.74837111,16.127664046770466,0.0240294700000003
135,0.2,1,-5,320.0,11.0,56,job__16_292232__320_000000__11_0,14537302,-3.75035107,211.7513148009016,-3.74955107,16.292231879585028,0.02381169
136,0.2,1,-5,320.0,11.0,56,job__16_456800__320_000000__11_0,14537303,-3.75072794,214.0052592036063,-3.74992794,16.456800027713822,0.0236077400000001
137,0.2,1,-5,320.0,11.0,56,job__16_621368__320_000000__11_0,14537304,-3.75024656,215.9346356123216,-3.74944656,16.621368057364204,0.0098416299999999
138,0.2,1,-5,320.0,11.0,56,job__16_785936__320_000000__11_0,14537305,-3.74898435,218.01728024042075,-3.74818435,16.785936017329465,0.0232392199999997
139,0.2,1,-5,320.0,11.0,56,job__16_950504__320_000000__11_0,14537306,-3.74705227,220.59579263711493,-3.74625227,16.95050393855773,0.0230717899999999
140,0.2,1,-5,320.0,11.0,56,job__17_115072__320_000000__11_0,14537307,-3.74440536,222.68745304282496,-3.74360536,17.11507206741567,0.02291248
141,0.2,1,-5,320.0,11.0,56,job__17_279640__320_000000__11_0,14537308,-3.7410863,224.67693463561235,-3.7402863,17.27964009818471,0.0227616199999998
142,0.2,1,-5,320.0,11.0,56,job__17_444208__320_000000__11_0,14537309,-3.73716427,226.7731029301277,-3.73636427,17.44420790217213,0.0226183500000001
143,0.2,1,-5,320.0,11.0,56,job__17_608776__320_000000__11_0,14537310,-3.73269357,228.7024793388429,-3.73189357,17.608776029999344,0.0224812899999999
144,0.2,1,-5,320.0,11.0,56,job__17_773344__320_000000__11_0,14537311,-3.72764229,230.61382419233647,-3.72684229,17.7733439162409,0.0223495700000002
145,0.2,1,-5,320.0,11.0,56,job__17_937912__320_000000__11_0,14537312,-3.72211016,233.1923365890308,-3.72131016,17.937911902437854,0.0222254099999998
