,sigma,Pt_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
79,0.2,1,-5,260.0,11.0,56,job__16_577658__260_000000__11_0,14551447,-5.15083606,157.85349361382418,-2.1684360599999994,16.57765808372008,2.3639999999325312e-05
80,0.2,1,-5,260.0,11.0,56,job__16_734051__260_000000__11_0,14551450,-5.14082156,159.38617580766342,-2.15842156,16.73405095057004,2.1560000000420132e-05
81,0.2,1,-5,260.0,11.0,56,job__16_890444__260_000000__11_0,14551455,-5.12740225,160.88880540946656,-2.14500225,16.89044395449491,2.686000000018396e-05
82,0.2,1,-5,260.0,11.0,56,job__17_046837__260_000000__11_0,14551459,-5.06318303,162.06085649887302,-2.08078303,17.046836941467845,2.6060000000605044e-05
83,0.2,1,-5,260.0,11.0,56,job__17_203230__260_000000__11_0,14551463,-5.06993984,163.73779113448535,-2.08753984,17.203229874204276,2.557000000003029e-05
84,0.2,1,-5,280.0,11.0,56,job__14_075370__280_000000__11_0,14551465,-5.4364968,150.04132231404958,-4.0761968,14.075369968222544,6.791999999933296e-05
85,0.2,1,-5,280.0,11.0,56,job__14_231763__280_000000__11_0,14551469,-5.44272517,151.41172051089407,-4.0824251700000005,14.231763074011697,6.209000000012566e-05
86,0.2,1,-5,280.0,11.0,56,job__14_388156__280_000000__11_0,14551473,-5.45215415,152.89030803906837,-4.09185415,14.388155910879137,1.4179999999974768e-05
87,0.2,1,-5,280.0,11.0,56,job__14_544549__280_000000__11_0,14551476,-5.48964761,154.7160030052592,-4.12934761,14.544549108870083,5.896999999954744e-05
88,0.2,1,-5,280.0,11.0,56,job__14_700942__280_000000__11_0,14551481,-5.5151895,156.46506386175807,-4.1548894999999995,14.700942105541351,1.2540000000171858e-05
89,0.2,1,-5,280.0,11.0,56,job__14_857335__280_000000__11_0,14551485,-5.53926498,158.25018782870023,-4.17896498,14.857334906763892,1.3410000000213529e-05
90,0.2,1,-5,280.0,11.0,56,job__15_013728__280_000000__11_0,14551489,-5.52588822,159.60255447032307,-4.16558822,15.013728084698805,5.313999999945196e-05
91,0.2,1,-5,280.0,11.0,56,job__15_170121__280_000000__11_0,14551491,-5.55602215,161.51990984222388,-4.19572215,15.170120922697123,5.077000000053289e-05
92,0.2,1,-5,280.0,11.0,56,job__15_326514__280_000000__11_0,14551493,-5.56579045,163.2509391435011,-4.205490449999999,15.32651391499211,4.7899999999323484e-05
93,0.2,1,-5,280.0,11.0,56,job__15_482907__280_000000__11_0,14551497,-5.54136027,164.5672426746807,-4.18106027,15.482906910314732,4.9139999999781026e-05
94,0.2,1,-5,280.0,11.0,56,job__15_639300__280_000000__11_0,14551500,-5.54184068,166.25319308790384,-4.1815406799999995,15.63930001600553,4.975999999956571e-05
