,sigma,Ag_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
95,0.2,1,-5,280.0,11.0,56,job__18_016683__280_000000__11_0,14537857,0.41923558,191.9601803155522,2.48703558,18.01668287120561,0.0110490999999999
96,0.2,1,-5,280.0,11.0,56,job__18_195066__280_000000__11_0,14537858,0.43072171,193.78136739293765,2.49852171,18.19506603890903,0.02173686
97,0.2,1,-5,280.0,11.0,56,job__18_373449__280_000000__11_0,14537859,0.45264862,195.5304282494365,2.5204486200000003,18.37344896277561,0.02172108
98,0.2,1,-5,280.0,11.0,56,job__18_551832__280_000000__11_0,14537860,0.48326688,197.2434259954921,2.55106688,18.551831923459275,0.0119753999999999
99,0.2,1,-5,280.0,11.0,56,job__18_730215__280_000000__11_0,14537861,0.46370518,199.3350864012021,2.53150518,18.730214899277904,0.0210153599999999
100,0.2,1,-5,280.0,11.0,56,job__18_908598__280_000000__11_0,14537862,0.46816879,201.22839969947407,2.53596879,18.90859807570966,0.02064849
101,0.2,1,-5,280.0,11.0,56,job__19_086981__280_000000__11_0,14537863,0.51024301,202.8512396694215,2.57804301,19.08698102554078,0.0207838799999999
102,0.2,1,-5,280.0,11.0,56,job__19_265364__280_000000__11_0,14537864,0.49570566,204.92486851990984,2.56350566,19.265364031895256,0.01993229
103,0.2,1,-5,280.0,11.0,56,job__19_443747__280_000000__11_0,14537865,0.47214456,207.11119459053344,2.53994456,19.44374700200359,0.01892188
104,0.2,1,-5,280.0,11.0,56,job__19_622130__280_000000__11_0,14537866,0.53363824,208.55972952667167,2.60143824,19.622129990663197,0.0192752199999999
105,0.2,1,-5,300.0,11.0,56,job__16_054470__300_000000__11_0,14537867,-0.33365038,189.31254695717504,0.74504962,16.05446993531393,0.0043018099999999
106,0.2,1,-5,300.0,11.0,56,job__16_232853__300_000000__11_0,14537868,-0.35506205,191.5274229902329,0.72363795,16.23285302914787,1.16446856
107,0.2,1,-5,300.0,11.0,56,job__16_411236__300_000000__11_0,14537869,-0.37461509,193.78136739293765,0.70408491,16.41123592672458,1.16996144
108,0.2,1,-5,300.0,11.0,56,job__16_589619__300_000000__11_0,14537870,-0.37521249,195.74680691209616,0.70348751,16.589619028576752,1.17636504
109,0.2,1,-5,300.0,11.0,56,job__16_768002__300_000000__11_0,14537871,-0.37677555,197.748309541698,0.7019244499999999,16.768001949930003,1.18172108
110,0.2,1,-5,300.0,11.0,56,job__16_946385__300_000000__11_0,14537872,-0.40717913,200.27272727272728,0.6715208699999999,16.94638496166303,1.1847041
111,0.2,1,-5,300.0,11.0,56,job__17_124768__300_000000__11_0,14537873,-0.38436866,201.87753568745305,0.69433134,17.12476798345421,0.002401
112,0.2,1,-5,300.0,11.0,56,job__17_303151__300_000000__11_0,14537874,-0.41135948,204.40195341848235,0.66734052,17.303151052251525,1.19410375
113,0.2,1,-5,300.0,11.0,56,job__17_481534__300_000000__11_0,14537875,-0.39351022,206.1915852742299,0.68518978,17.481534048080317,0.0129797199999999
114,0.2,1,-5,300.0,11.0,56,job__17_659917__300_000000__11_0,14537876,-0.40606475,208.48760330578511,0.67263525,17.65991692225073,0.01346983
115,0.2,1,-5,300.0,11.0,56,job__17_838300__300_000000__11_0,14537877,-0.40090905,210.5251690458302,0.67779095,17.83829993611712,0.01355358
