,sigma,Cu_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
1201,0.2,1,-5,400.0,17.0,165,job__11_268344__400_000000__17_0,14519703,-3.68277343,204.73498880521066,-3.44267343,11.26834401530571,0.5355839600000003
1202,0.2,1,-5,400.0,17.0,165,job__11_388220__400_000000__17_0,14519704,-3.68875161,206.74679421941786,-3.44865161,11.388220018438572,0.5451397500000001
1203,0.2,1,-5,400.0,17.0,165,job__11_508096__400_000000__17_0,14519705,-3.69520274,208.9645837573784,-3.45510274,11.508096041609539,0.5543548099999995
1204,0.2,1,-5,400.0,17.0,165,job__11_627972__400_000000__17_0,14519706,-3.70097008,211.28984327294933,-3.46087008,11.627972070313696,0.5633145000000002
1205,0.2,1,-5,400.0,17.0,165,job__11_747848__400_000000__17_0,14519707,-3.70410552,213.46488906981477,-3.46400552,11.747847910787167,0.021898719999999816
1206,0.2,1,-5,400.0,17.0,165,job__11_867724__400_000000__17_0,14519708,-3.7051916,215.52147364135965,-3.4650916,11.867723955280354,0.58070632
1207,0.2,1,-5,400.0,17.0,165,job__11_987600__400_000000__17_0,14519709,-3.70690832,217.81905149603094,-3.46680832,11.987599999437174,0.00032210999999993106
1208,0.2,1,-5,400.0,17.0,165,job__12_107476__400_000000__17_0,14519710,-3.70664907,220.01241603908,-3.46654907,12.107476005107518,0.5970200800000001
1209,0.2,1,-5,400.0,17.0,165,job__12_227352__400_000000__17_0,14519711,-3.70489099,222.14716059434156,-3.46479099,12.227352092537338,0.6049360200000002
1210,0.2,1,-5,400.0,17.0,165,job__12_347228__400_000000__17_0,14519712,-3.70291701,224.3991451251781,-3.46281701,12.34722792683572,0.020052649999999783
1211,0.2,1,-5,400.0,17.0,165,job__12_467104__400_000000__17_0,14519713,-3.69888738,226.48381844087115,-3.45878738,12.46710391000743,0.61995581
1212,0.2,1,-5,400.0,17.0,165,job__12_586980__400_000000__17_0,14519714,-3.69517106,228.7374313047018,-3.45507106,12.586979965738319,0.0192988500000002
1213,0.2,1,-5,400.0,17.0,165,job__12_706856__400_000000__17_0,14519715,-3.68939611,230.81355587217587,-3.44929611,12.706855923925168,0.018927039999999895
1214,0.2,1,-5,400.0,17.0,165,job__12_826732__400_000000__17_0,14519716,-3.68400059,233.05577040504784,-3.44390059,12.826731920937846,0.018567809999999962
1215,0.2,1,-5,400.0,17.0,165,job__12_946608__400_000000__17_0,14519717,-3.67743725,235.23447995115,-3.43733725,12.94660798183227,0.018209380000000053
1216,0.2,1,-5,400.0,17.0,165,job__13_066484__400_000000__17_0,14519718,-3.66975495,237.32525951557093,-3.42965495,13.066484006500637,0.6526930800000001
1217,0.2,1,-5,400.0,17.0,165,job__13_186360__400_000000__17_0,14519719,-3.6623583,239.5642173824547,-3.4222583,13.186359966886624,0.6586346299999999
1218,0.2,1,-5,400.0,19.0,220,job__10_788840__400_000000__19_0,14519720,-3.63478495,195.89867327598776,-3.39468495,10.788840043144676,0.49646897999999995
1219,0.2,1,-5,400.0,19.0,220,job__10_908716__400_000000__19_0,14519721,-3.64954292,198.1240705642222,-3.40944292,10.908716080582742,0.02435281999999983
1220,0.2,1,-5,400.0,19.0,220,job__11_028592__400_000000__19_0,14519722,-3.66225688,200.30864557515673,-3.42215688,11.02859192202126,0.5166123000000002
1221,0.2,1,-5,400.0,19.0,220,job__11_148468__400_000000__19_0,14519723,-3.67382637,202.58302959615105,-3.43372637,11.14846807761037,0.5263035300000003
