,sigma,Ir_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
7605,0.2,1,-5,1200.0,63.0,5984,job__14_199024__1200_000000__63_0,14573199,-9.41374232,1340.2705611345068,-9.412042320000001,14.199024060447286,0.00042979999999914753
7606,0.2,1,-5,1200.0,63.0,5984,job__14_343912__1200_000000__63_0,14573201,-9.41869634,1353.9072374393613,-9.41699634,14.343911931818813,1.7300000010322947e-06
7607,0.2,1,-5,1200.0,63.0,5984,job__14_488800__1200_000000__63_0,14573203,-9.42030359,1367.6014709234664,-9.41860359,14.488799950481377,1.1291425900000007
7608,0.2,1,-5,1200.0,63.0,5984,job__14_633688__1200_000000__63_0,14573205,-9.41876163,1381.298103956456,-9.417061630000001,14.633687975199452,0.000482319999999703
7609,0.2,1,-5,1200.0,63.0,5984,job__14_778576__1200_000000__63_0,14573207,-9.4142584,1394.9444744388054,-9.4125584,14.778576068418321,1.7499999991343884e-06
7610,0.2,1,-5,1200.0,63.0,5984,job__14_923464__1200_000000__63_0,14573209,-9.40697075,1408.6282938807503,-9.40527075,14.92346402915186,0.0005199799999999755
7611,0.2,1,-5,1200.0,63.0,5984,job__15_068352__1200_000000__63_0,14573211,-9.39706589,1422.3275184265358,-9.39536589,15.068352061095965,0.014780149999999992
7612,0.2,1,-5,1200.0,63.0,5984,job__15_213240__1200_000000__63_0,14573213,-9.38470031,1435.97504069235,-9.38300031,15.213240075089548,0.0005598500000001394
7613,0.2,1,-5,1200.0,63.0,5984,job__15_358128__1200_000000__63_0,14573215,-9.37002197,1449.6419433146568,-9.36832197,15.358127899215242,0.000580420000000359
7614,0.2,1,-5,1200.0,63.0,5984,job__15_503016__1200_000000__63_0,14573217,-9.35317149,1463.3365607265835,-9.35147149,15.50301596788761,1.23682816
7615,0.2,1,-5,1200.0,63.0,5984,job__15_647904__1200_000000__63_0,14573219,-9.33428062,1477.0163489264019,-9.33258062,15.647903909171479,0.0006221699999997554
7616,0.2,1,-5,1200.0,63.0,5984,job__15_792792__1200_000000__63_0,14573221,-9.31347486,1490.6985206781126,-9.31177486,15.792791934619842,0.014040340000001095
7617,0.2,1,-5,1200.0,63.0,5984,job__15_937680__1200_000000__63_0,14573223,-9.29087344,1504.380660435838,-9.28917344,15.937679887966002,0.013868099999999828
7618,0.2,1,-5,1200.0,65.0,6545,job__13_039920__1200_000000__65_0,14573225,-9.22558374,1230.8581265361856,-9.22388374,13.039920074055445,0.00031946000000004915
7619,0.2,1,-5,1200.0,65.0,6545,job__13_184808__1200_000000__65_0,14573227,-9.2660498,1244.5234519799726,-9.2643498,13.184807943523353,0.0
7620,0.2,1,-5,1200.0,65.0,6545,job__13_329696__1200_000000__65_0,14573229,-9.30108291,1258.2074574419664,-9.29938291,13.329696018884235,2.900000009020687e-07
7621,0.2,1,-5,1200.0,65.0,6545,job__13_474584__1200_000000__65_0,14573231,-9.33100154,1271.8904433318162,-9.329301540000001,13.47458391231667,0.0003560599999996583
7622,0.2,1,-5,1200.0,65.0,6545,job__13_619472__1200_000000__65_0,14573233,-9.35610551,1285.5635248065544,-9.354405510000001,13.619471999757408,0.00036946999999898367
7623,0.2,1,-5,1200.0,65.0,6545,job__13_764360__1200_000000__65_0,14573235,-9.37667803,1299.2372253072372,-9.374978030000001,13.764359906920996,0.015534359999998415
7624,0.2,1,-5,1200.0,65.0,6545,job__13_909248__1200_000000__65_0,14573237,-9.39298437,1312.9085589440147,-9.391284370000001,13.909247991834121,0.015495780000000181
7625,0.2,1,-5,1200.0,65.0,6545,job__14_054136__1200_000000__65_0,14573239,-9.40527517,1326.5646281292672,-9.40357517,14.054136029839507,0.0004139400000013893
7626,0.2,1,-5,1200.0,65.0,6545,job__14_199024__1200_000000__65_0,14573241,-9.41378537,1340.253265361857,-9.41208537,14.199024060447286,0.01537814000000104
7627,0.2,1,-5,1200.0,65.0,6545,job__14_343912__1200_000000__65_0,14573244,-9.41873865,1353.95136276741,-9.41703865,14.343911931818813,1.1122613300000008
7628,0.2,1,-5,1200.0,65.0,6545,job__14_488800__1200_000000__65_0,14573246,-9.42034452,1367.614335912608,-9.41864452,14.488799950481377,0.015216679999999982
7629,0.2,1,-5,1200.0,65.0,6545,job__14_633688__1200_000000__65_0,14573247,-9.41880226,1381.2863686845699,-9.41710226,14.633687975199452,0.015119379999999794
7630,0.2,1,-5,1200.0,65.0,6545,job__14_778576__1200_000000__65_0,14573249,-9.41429792,1394.9608047337279,-9.41259792,14.778576068418321,0.00010383000000047105
7631,0.2,1,-5,1200.0,65.0,6545,job__14_923464__1200_000000__65_0,14573250,-9.4070094,1408.6531415566683,-9.4053094,14.92346402915186,1.769999999012839e-06
7632,0.2,1,-5,1200.0,65.0,6545,job__15_068352__1200_000000__65_0,14573251,-9.39710326,1422.298781975421,-9.39540326,15.068352061095965,0.014773350000000463
7633,0.2,1,-5,1200.0,65.0,6545,job__15_213240__1200_000000__65_0,14573252,-9.38473681,1435.9791388256713,-9.38303681,15.213240075089548,0.0005601300000002141
7634,0.2,1,-5,1200.0,65.0,6545,job__15_358128__1200_000000__65_0,14573254,-9.3700577,1449.6602020937642,-9.3683577,15.358127899215242,0.014499459999999686
7635,0.2,1,-5,1200.0,65.0,6545,job__15_503016__1200_000000__65_0,14573256,-9.35320618,1463.342503413746,-9.351506180000001,15.50301596788761,0.014349449999999209
7636,0.2,1,-5,1200.0,65.0,6545,job__15_647904__1200_000000__65_0,14573259,-9.33431423,1477.0278197542102,-9.33261423,15.647903909171479,0.000622659999999442
7637,0.2,1,-5,1200.0,65.0,6545,job__15_792792__1200_000000__65_0,14573261,-9.31350688,1490.6918416021847,-9.31180688,15.792791934619842,0.014030139999999136
