,sigma,Pb_d,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
87,0.2,1,-5,280.0,11.0,56,job__29_760837__280_000000__11_0,14551837,-3.54176797,316.36438767843725,-3.48216797,29.76083694084091,0.0031092799999998
88,0.2,1,-5,280.0,11.0,56,job__30_080846__280_000000__11_0,14551841,-3.5480109,319.90308039068367,-3.4884109,30.080846067068347,0.0029733499999999
89,0.2,1,-5,280.0,11.0,56,job__30_400855__280_000000__11_0,14551845,-3.55308459,323.50939143501125,-3.49348459,30.40085492318715,0.0028907299999998
90,0.2,1,-5,280.0,11.0,56,job__30_720864__280_000000__11_0,14551849,-3.55695655,326.68895567242674,-3.49735655,30.72086404492037,0.0027705099999999
91,0.2,1,-5,280.0,11.0,56,job__31_040873__280_000000__11_0,14551853,-3.55990177,330.1870773854245,-3.50030177,31.04087286482069,0.0026527599999996
92,0.2,1,-5,280.0,11.0,56,job__31_360882__280_000000__11_0,14551860,-3.5618973,333.61307287753567,-3.5022973,31.36088188654973,7.539000000011953e-05
93,0.2,1,-5,280.0,11.0,56,job__31_680891__280_000000__11_0,14551864,-3.56297345,336.87678437265214,-3.50337345,31.68089116735626,0.0024333000000003
94,0.2,1,-5,280.0,11.0,56,job__32_000900__280_000000__11_0,14551867,-3.56333399,340.8076634109692,-3.50373399,32.000899882353664,0.0023278600000002
95,0.2,1,-5,280.0,11.0,56,job__32_320909__280_000000__11_0,14551872,-3.56270564,343.56649135987976,-3.50310564,32.32090894216323,0.00223203
96,0.2,1,-5,280.0,11.0,56,job__32_640918__280_000000__11_0,14551875,-3.56158677,347.68219383921866,-3.50198677,32.640917926556206,0.0021346399999999
97,0.2,1,-5,280.0,11.0,56,job__32_960927__280_000000__11_0,14551880,-3.55951449,350.36589030803907,-3.49991449,32.96092694820336,0.00204344
98,0.2,1,-5,280.0,11.0,56,job__33_280936__280_000000__11_0,14551886,-3.55695479,354.0082644628099,-3.49735479,33.28093585488319,4.09000000001214e-06
99,0.2,1,-5,280.0,11.0,56,job__33_600945__280_000000__11_0,14551890,-3.55373814,357.45229151014274,-3.49413814,33.60094497602181,4.220000000110247e-06
100,0.2,1,-5,280.0,11.0,56,job__33_920954__280_000000__11_0,14551894,-3.54999456,361.220886551465,-3.49039456,33.92095391909316,4.689999999918371e-06
101,0.2,1,-5,280.0,11.0,56,job__34_240963__280_000000__11_0,14551898,-3.54560091,364.44853493613823,-3.48600091,34.24096311123453,0.0017012699999998
102,0.2,1,-5,280.0,11.0,56,job__34_560972__280_000000__11_0,14551903,-3.54068829,367.67618332081145,-3.48108829,34.56097219244739,0.0016233300000001
103,0.2,1,-5,280.0,11.0,56,job__34_880981__280_000000__11_0,14551910,-3.53532939,371.1743050338092,-3.47572939,34.88098117400507,3.019999999986922e-05
104,0.2,1,-5,280.0,11.0,56,job__35_200990__280_000000__11_0,14551913,-3.52944717,374.39444027047335,-3.46984717,35.20099001770926,0.0014732199999998
105,0.2,1,-5,300.0,11.0,56,job__28_800810__300_000000__11_0,14551916,-3.51619311,339.77986476333587,-3.4663931100000003,28.80081013236044,0.00341053
106,0.2,1,-5,300.0,11.0,56,job__29_120819__300_000000__11_0,14551921,-3.52618656,343.56649135987976,-3.4763865600000003,29.120818939160543,0.0032526599999997
107,0.2,1,-5,300.0,11.0,56,job__29_440828__300_000000__11_0,14551927,-3.53496722,347.68219383921866,-3.48516722,29.440828149658053,0.0031033499999999
108,0.2,1,-5,300.0,11.0,56,job__29_760837__300_000000__11_0,14551931,-3.54218,350.9609316303531,-3.4923800000000003,29.76083694084091,0.0029610799999999
109,0.2,1,-5,300.0,11.0,56,job__30_080846__300_000000__11_0,14551935,-3.54849204,355.05409466566493,-3.4986920400000003,30.080846067068347,0.0028264
110,0.2,1,-5,300.0,11.0,56,job__30_400855__300_000000__11_0,14551939,-3.55337168,358.4259954921112,-3.5035716800000003,30.40085492318715,0.0027379399999998
111,0.2,1,-5,300.0,11.0,56,job__30_720864__300_000000__11_0,14551944,-3.5574859,362.7716003005259,-3.5076859,30.72086404492037,0.00261442
112,0.2,1,-5,300.0,11.0,56,job__31_040873__300_000000__11_0,14551950,-3.56026305,366.1435011269722,-3.5104630500000003,31.04087286482069,0.0024986299999998
113,0.2,1,-5,300.0,11.0,56,job__31_360882__300_000000__11_0,14551970,-3.56214194,369.60555972952665,-3.51234194,31.36088188654973,6.183999999986867e-05
114,0.2,1,-5,300.0,11.0,56,job__31_680891__300_000000__11_0,14551973,-3.56338523,373.8174305033809,-3.5135852300000003,31.68089116735626,5.100000000002325e-05
115,0.2,1,-5,300.0,11.0,56,job__32_000900__300_000000__11_0,14551976,-3.56360267,377.45980465815177,-3.51380267,32.000899882353664,0.00217131
116,0.2,1,-5,300.0,11.0,56,job__32_320909__300_000000__11_0,14551977,-3.56307031,381.1923365890308,-3.51327031,32.32090894216323,0.0020715199999998
117,0.2,1,-5,300.0,11.0,56,job__32_640918__300_000000__11_0,14551981,-3.56187484,385.1412471825695,-3.5120748400000004,32.640917926556206,6.139999999987822e-06
118,0.2,1,-5,300.0,11.0,56,job__32_960927__300_000000__11_0,14552005,-3.55994899,388.9819684447784,-3.51014899,32.96092694820336,0.0017608499999997
119,0.2,1,-5,300.0,11.0,56,job__33_280936__300_000000__11_0,14552009,-3.55737626,392.8677685950413,-3.50757626,33.28093585488319,1.8799999996765848e-06
120,0.2,1,-5,300.0,11.0,56,job__33_600945__300_000000__11_0,14552014,-3.55411158,396.56423741547707,-3.50431158,33.60094497602181,0.0015837600000003
121,0.2,1,-5,300.0,11.0,56,job__33_920954__300_000000__11_0,14552018,-3.55038274,400.64537941397447,-3.50058274,33.92095391909316,0.00149862
122,0.2,1,-5,300.0,11.0,56,job__34_240963__300_000000__11_0,14552023,-3.54594177,404.1840721262209,-3.4961417700000004,34.24096311123453,0.0014170299999998
123,0.2,1,-5,300.0,11.0,56,job__34_560972__300_000000__11_0,14552028,-3.54108497,408.060856498873,-3.49128497,34.56097219244739,0.00133713
124,0.2,1,-5,300.0,11.0,56,job__34_880981__300_000000__11_0,14552031,-3.53566237,411.7032306536439,-3.48586237,34.88098117400507,5.885999999977187e-05
125,0.2,1,-5,300.0,11.0,56,job__35_200990__300_000000__11_0,14552037,-3.52966575,415.02103681442526,-3.47986575,35.20099001770926,6.664999999994592e-05
126,0.2,1,-5,320.0,11.0,56,job__28_800810__320_000000__11_0,14552041,-3.51560291,374.2141247182569,-3.4801029100000003,28.80081013236044,0.0032628099999998
127,0.2,1,-5,320.0,11.0,56,job__29_120819__320_000000__11_0,14552046,-3.52573106,378.77610818933135,-3.49023106,29.120818939160543,0.00310391
128,0.2,1,-5,320.0,11.0,56,job__29_440828__320_000000__11_0,14552050,-3.53441795,383.0495867768595,-3.49891795,29.440828149658053,0.0028848900000002
129,0.2,1,-5,320.0,11.0,56,job__29_760837__320_000000__11_0,14552055,-3.54178526,387.1427498121713,-3.5062852600000003,29.76083694084091,0.00274156
130,0.2,1,-5,320.0,11.0,56,job__30_080846__320_000000__11_0,14552060,-3.54759108,390.2531930879038,-3.5120910800000003,30.080846067068347,0.0026060499999998
131,0.2,1,-5,320.0,11.0,56,job__30_400855__320_000000__11_0,14552063,-3.55290472,395.21187077385423,-3.51740472,30.40085492318715,0.00251547
132,0.2,1,-5,320.0,11.0,56,job__30_720864__320_000000__11_0,14552069,-3.55679582,399.3471074380165,-3.52129582,30.72086404492037,0.00238665
133,0.2,1,-5,320.0,11.0,56,job__31_040873__320_000000__11_0,14552073,-3.55962664,403.282494365139,-3.52412664,31.04087286482069,0.0022694599999999
134,0.2,1,-5,320.0,11.0,56,job__31_360882__320_000000__11_0,14552078,-3.56158771,407.3756574004508,-3.52608771,31.36088188654973,3.738000000019781e-05
135,0.2,1,-5,320.0,11.0,56,job__31_680891__320_000000__11_0,14552082,-3.56275201,411.7032306536439,-3.52725201,31.68089116735626,0.0020464699999998
136,0.2,1,-5,320.0,11.0,56,job__32_000900__320_000000__11_0,14552086,-3.56296419,415.74229902329074,-3.5274641900000003,32.000899882353664,0.0019418299999998
137,0.2,1,-5,320.0,11.0,56,job__32_320909__320_000000__11_0,14552091,-3.5625698,420.26821938392186,-3.5270698,32.32090894216323,1.3700000001115598e-06
138,0.2,1,-5,320.0,11.0,56,job__32_640918__320_000000__11_0,14552096,-3.56125301,424.2712246431255,-3.5257530100000003,32.640917926556206,0.0017430299999996
139,0.2,1,-5,320.0,11.0,56,job__32_960927__320_000000__11_0,14552100,-3.55936741,428.6228399699474,-3.5238674100000003,32.96092694820336,2.7400000002231195e-06
140,0.2,1,-5,320.0,11.0,56,job__33_280936__320_000000__11_0,14552104,-3.55669864,432.5897821187077,-3.52119864,33.28093585488319,3.360000000007801e-06
141,0.2,1,-5,320.0,11.0,56,job__33_600945__320_000000__11_0,14552107,-3.55337241,436.46205860255446,-3.5178724100000003,33.60094497602181,0.00147187
142,0.2,1,-5,320.0,11.0,56,job__33_920954__320_000000__11_0,14552111,-3.54969835,441.04207362885046,-3.51419835,33.92095391909316,0.0013877300000002
143,0.2,1,-5,320.0,11.0,56,job__34_240963__320_000000__11_0,14552114,-3.54532218,445.1712997746056,-3.50982218,34.24096311123453,0.0013096400000001
144,0.2,1,-5,320.0,11.0,56,job__34_560972__320_000000__11_0,14552116,-3.54033989,449.0480841472577,-3.50483989,34.56097219244739,6.584999999992291e-05
145,0.2,1,-5,320.0,11.0,56,job__34_880981__320_000000__11_0,14552119,-3.53505142,453.4718256949662,-3.49955142,34.88098117400507,7.455999999983476e-05
146,0.2,1,-5,320.0,11.0,56,job__35_200990__320_000000__11_0,14552122,-3.52901362,457.04207362885046,-3.4935136200000003,35.20099001770926,0.0010808899999998
147,0.2,1,-5,340.0,11.0,56,job__28_800810__340_000000__11_0,14552127,-3.51502361,410.0623591284749,-3.49282361,28.80081013236044,5.100000000091143e-07
148,0.2,1,-5,340.0,11.0,56,job__29_120819__340_000000__11_0,14552129,-3.52497513,414.55221637866265,-3.50277513,29.120818939160543,0.0029409799999999
149,0.2,1,-5,340.0,11.0,56,job__29_440828__340_000000__11_0,14552133,-3.53363487,419.1863260706236,-3.51143487,29.440828149658053,0.0027911899999999
150,0.2,1,-5,340.0,11.0,56,job__29_760837__340_000000__11_0,14552136,-3.54106386,423.8564988730278,-3.51886386,29.76083694084091,0.0026498099999998
151,0.2,1,-5,340.0,11.0,56,job__30_080846__340_000000__11_0,14552140,-3.54721297,428.2081141998497,-3.52501297,30.080846067068347,0.0025107700000002
152,0.2,1,-5,340.0,11.0,56,job__30_400855__340_000000__11_0,14552145,-3.55225323,432.77009767092414,-3.53005323,30.40085492318715,0.00241829
153,0.2,1,-5,340.0,11.0,56,job__30_720864__340_000000__11_0,14552149,-3.55617964,437.381667918858,-3.53397964,30.72086404492037,5.097000000020557e-05
154,0.2,1,-5,340.0,11.0,56,job__31_040873__340_000000__11_0,14552154,-3.55913968,442.1059353869271,-3.53693968,31.04087286482069,0.0021803799999999
155,0.2,1,-5,340.0,11.0,56,job__31_360882__340_000000__11_0,14552159,-3.56111094,446.5957926371149,-3.53891094,31.36088188654973,0.00206346
156,0.2,1,-5,340.0,11.0,56,job__31_680891__340_000000__11_0,14552163,-3.56229377,451.44628099173553,-3.54009377,31.68089116735626,0.0019557199999997
157,0.2,1,-5,340.0,11.0,56,job__32_000900__340_000000__11_0,14552168,-3.56231465,455.0946656649136,-3.54011465,32.000899882353664,0.0018543700000002
158,0.2,1,-5,340.0,11.0,56,job__32_320909__340_000000__11_0,14552193,-3.56188352,459.9451540195342,-3.53968352,32.32090894216323,0.0017531399999999
159,0.2,1,-5,340.0,11.0,56,job__32_640918__340_000000__11_0,14552196,-3.56063638,464.50713749060856,-3.53843638,32.640917926556206,0.0016567799999998
